cpu_usage,memory_usage,requests_per_sec,latency_ms,failure_label
44.64,27.78,224.09,57.02,0
46.08,20.22,237.74,80.45,0
33.38,27.04,289.49,59.03,0
23.71,53.93,164.12,83.12,0
64.33,43.82,287.51,90.77,0
49.56,40.19,257.64,61.57,0
86.36,71.87,401.84,211.81,1
52.12,40.85,206.69,38.34,0
25.72,30.87,129.93,60.91,0
22.72,47.76,226.6,20.46,0
39.84,36.63,101.71,50.71,0
82.85,77.39,521.35,341.4,1
10.32,34.07,238.37,87.54,0
93.03,94.95,29.58,701.63,1
22.07,37.43,57.26,43.57,0
32.24,26.6,166.85,25.85,0
11.48,35.76,191.1,17.3,0
17.46,38.47,62.57,47.22,0
27.98,50.45,144.78,78.92,0
23.87,23.28,54.85,60.85,0
92.2,93.0,40.16,725.88,1
62.23,27.97,55.1,27.95,0
46.82,42.56,104.49,74.45,0
19.23,44.29,236.98,24.74,0
63.06,24.32,56.42,41.52,0
62.7,35.87,228.75,21.46,0
44.5,24.08,243.12,87.27,0
16.66,59.35,245.66,44.51,0
30.38,40.24,135.31,87.21,0
15.8,58.43,208.9,85.44,0
33.95,49.35,291.37,37.96,0
39.6,39.34,158.89,77.14,0
56.84,53.23,71.67,89.94,0
35.56,44.41,144.75,17.44,0
74.0,65.3,509.57,235.08,1
85.43,66.91,352.03,387.02,1
49.6,39.54,239.54,73.7,0
37.0,51.72,73.26,33.84,0
26.84,43.26,168.32,60.13,0
51.03,33.23,225.71,38.03,0
16.64,27.7,79.89,60.55,0
20.18,28.66,171.05,76.59,0
94.3,85.66,9.52,497.06,1
19.87,20.57,183.53,38.32,0
94.64,93.95,10.68,834.23,1
58.0,42.96,167.35,52.44,0
12.83,57.64,169.43,84.88,0
14.07,45.18,63.4,27.68,0
26.71,59.76,79.61,79.98,0
53.49,29.03,180.64,53.29,0
57.31,59.6,126.35,67.79,0
50.7,57.9,101.95,32.94,0
18.64,26.95,68.77,15.23,0
42.66,31.65,107.87,75.09,0
34.97,47.5,280.98,81.97,0
46.37,57.35,156.28,61.29,0
59.96,53.07,67.85,29.1,0
51.19,42.77,122.15,25.57,0
48.49,57.71,175.12,56.97,0
12.19,37.28,130.58,36.28,0
62.91,53.44,193.8,95.82,0
96.07,85.39,6.81,778.13,1
45.83,56.64,95.37,64.75,0
37.04,23.65,136.99,43.33,0
57.18,33.19,223.42,39.5,0
87.9,73.75,440.97,228.63,1
63.36,36.17,178.65,98.99,0
39.84,36.53,96.9,45.75,0
44.4,50.4,100.89,61.68,0
79.64,77.46,374.29,393.29,1
23.16,26.34,187.71,61.94,0
64.57,56.52,165.36,24.98,0
37.41,48.66,177.22,38.24,0
63.91,29.75,187.82,47.6,0
81.18,81.98,522.81,219.06,1
32.82,57.37,176.93,84.75,0
26.42,43.48,299.73,56.62,0
39.62,33.8,187.98,61.19,0
27.7,27.55,224.37,63.6,0
52.65,21.75,236.18,74.94,0
31.23,46.55,255.19,98.37,0
12.04,40.09,197.55,88.92,0
79.69,73.15,441.39,330.61,1
46.01,26.17,167.37,97.38,0
48.1,45.99,262.94,87.45,0
78.36,67.92,493.74,339.85,1
70.79,61.71,476.23,380.23,1
96.96,88.68,9.43,716.87,1
79.76,77.35,530.68,161.5,1
26.14,34.99,86.39,60.15,0
53.59,26.8,69.74,89.02,0
23.25,56.51,85.78,54.2,0
24.04,20.38,251.16,91.6,0
18.69,37.67,136.39,64.94,0
33.34,30.0,261.33,31.93,0
36.58,29.49,192.98,63.86,0
91.54,99.56,34.62,537.24,1
47.72,49.79,62.26,66.54,0
59.73,31.45,249.72,66.6,0
45.01,44.84,219.44,76.28,0
56.11,45.13,275.85,69.94,0
34.25,43.18,233.09,22.66,0
51.11,27.03,83.04,60.85,0
94.37,98.27,42.37,528.49,1
36.5,52.26,236.64,43.79,0
62.96,25.63,291.63,88.11,0
63.9,58.69,251.15,46.09,0
10.77,41.46,163.7,72.19,0
42.15,52.9,285.07,24.21,0
11.38,55.37,190.35,92.8,0
13.48,52.95,277.35,40.69,0
17.69,57.85,126.09,56.87,0
58.8,25.43,163.41,71.99,0
62.03,36.77,235.57,28.13,0
15.45,39.57,152.03,95.88,0
30.38,37.74,287.64,87.71,0
47.71,41.78,294.46,45.49,0
20.44,24.89,262.01,53.65,0
45.29,43.89,55.34,81.88,0
16.93,42.58,67.15,80.04,0
21.88,54.79,132.14,27.54,0
70.06,81.46,378.94,182.5,1
19.6,46.44,56.45,16.26,0
23.09,32.95,93.56,19.45,0
38.93,49.83,169.06,81.13,0
16.0,40.15,286.35,18.69,0
57.68,40.86,164.51,96.94,0
36.34,36.06,221.52,56.67,0
71.62,62.02,471.66,166.42,1
44.82,41.93,131.3,99.54,0
34.95,44.22,74.79,74.65,0
84.32,79.22,494.17,203.76,1
22.57,33.56,163.37,50.36,0
33.47,46.6,143.58,27.97,0
71.48,80.79,368.65,174.14,1
54.65,42.25,196.62,62.73,0
16.72,34.14,216.34,78.77,0
85.86,84.21,470.08,237.91,1
21.7,46.27,106.06,24.2,0
30.22,50.5,193.53,83.61,0
63.6,52.74,203.39,69.63,0
61.1,53.18,116.86,30.34,0
26.99,33.59,51.53,88.94,0
32.04,25.67,208.29,17.61,0
21.83,36.79,135.22,46.45,0
52.73,42.7,71.24,19.47,0
43.98,46.96,118.03,71.26,0
34.31,30.93,238.74,24.67,0
25.58,47.14,171.66,71.71,0
31.74,43.97,51.92,40.62,0
17.55,30.22,132.03,15.66,0
19.66,35.21,225.92,57.52,0
54.34,22.88,265.44,18.6,0
60.66,54.48,193.94,63.74,0
32.97,24.61,55.21,42.61,0
44.0,53.28,279.94,22.49,0
23.38,43.55,180.99,48.64,0
28.67,33.32,92.03,58.39,0
38.05,56.24,137.34,76.83,0
54.83,29.45,86.61,31.77,0
51.81,46.22,94.29,80.69,0
51.49,50.4,162.23,93.55,0
44.94,44.98,266.06,68.31,0
13.76,37.69,125.71,38.35,0
37.9,32.42,162.98,19.84,0
14.22,54.57,263.82,67.28,0
35.45,42.17,247.95,91.15,0
54.54,46.07,130.38,55.43,0
13.4,24.14,274.78,44.19,0
37.75,26.9,111.94,52.21,0
38.75,26.35,143.21,39.05,0
28.61,43.92,247.31,70.02,0
15.2,47.14,121.04,76.52,0
59.85,54.93,133.34,64.53,0
29.24,58.71,224.62,48.32,0
61.59,32.38,144.17,82.29,0
46.86,53.16,234.69,73.26,0
45.53,36.94,140.46,45.82,0
21.78,57.91,171.57,34.26,0
14.24,53.78,75.29,80.52,0
58.6,21.51,134.19,80.14,0
30.72,26.49,257.84,80.54,0
19.1,37.51,152.71,72.49,0
34.43,31.4,237.13,53.16,0
27.02,52.34,167.25,85.98,0
62.09,59.38,165.42,38.95,0
39.01,58.65,254.22,83.11,0
23.75,45.65,268.53,62.14,0
56.52,54.05,121.27,79.86,0
59.79,25.89,159.37,95.45,0
34.81,33.98,56.67,19.53,0
22.97,59.78,143.73,17.4,0
88.46,76.25,508.28,184.4,1
55.64,47.84,84.7,74.97,0
10.29,23.17,113.98,85.97,0
50.0,41.11,77.8,39.49,0
12.63,36.79,248.47,53.85,0
59.78,43.87,54.11,58.81,0
17.9,37.17,203.7,35.45,0
46.54,23.42,293.66,20.75,0
37.9,59.53,188.54,48.19,0
44.96,59.24,113.41,16.38,0
28.96,49.32,207.06,80.58,0
28.29,21.77,186.5,84.15,0
52.85,38.58,223.85,68.7,0
13.47,51.05,164.42,39.94,0
20.97,21.68,283.34,58.81,0
94.52,85.07,38.9,495.55,1
52.95,54.63,132.98,25.58,0
58.92,49.73,273.66,47.86,0
93.95,89.95,46.59,659.64,1
49.99,23.16,200.61,84.9,0
27.67,23.2,215.23,41.05,0
33.44,47.59,137.89,18.6,0
77.76,84.95,404.91,395.01,1
71.65,75.94,422.66,350.27,1
62.4,25.71,201.89,81.41,0
13.7,51.14,141.58,47.54,0
43.28,47.16,287.21,46.62,0
41.57,41.18,149.51,70.21,0
16.24,49.43,174.76,47.89,0
24.4,30.41,161.57,99.69,0
60.41,39.65,80.66,87.49,0
59.43,37.8,71.95,72.96,0
27.58,33.9,66.23,61.08,0
88.73,77.8,535.46,309.43,1
37.98,24.85,100.25,26.8,0
11.45,42.16,142.23,83.31,0
43.66,23.45,127.32,99.97,0
38.91,50.77,255.83,21.27,0
95.71,89.0,35.6,572.26,1
87.17,75.99,386.39,391.57,1
60.09,22.22,81.04,28.01,0
27.75,48.37,136.51,94.98,0
88.61,66.27,477.01,287.71,1
26.66,41.34,175.64,29.33,0
73.39,76.47,494.13,301.28,1
41.0,53.01,57.09,18.86,0
41.72,46.05,241.74,50.41,0
37.39,45.09,122.42,96.32,0
54.26,47.4,124.36,21.2,0
34.18,39.37,101.01,66.57,0
49.51,49.37,265.19,97.91,0
30.38,42.47,129.78,54.65,0
23.64,23.87,122.55,47.65,0
23.65,54.61,89.92,42.83,0
27.2,50.52,174.57,58.75,0
26.97,20.93,286.31,57.96,0
90.58,87.06,7.27,647.45,1
84.39,71.76,457.34,361.79,1
58.54,49.1,240.96,46.1,0
41.37,27.79,188.31,21.25,0
52.04,31.19,297.27,72.83,0
63.63,35.76,248.72,43.82,0
86.61,64.98,451.82,275.02,1
17.54,33.32,168.44,53.84,0
38.35,33.12,203.27,28.81,0
96.87,85.98,20.14,814.14,1
48.98,31.99,253.94,46.31,0
63.89,43.35,249.19,76.65,0
11.47,38.98,291.77,81.55,0
41.77,48.86,195.88,29.49,0
44.09,53.65,86.94,72.86,0
62.15,24.4,54.73,41.66,0
47.98,36.42,243.74,93.24,0
86.19,61.56,377.62,201.84,1
46.42,41.02,128.44,29.72,0
77.53,68.86,504.4,330.23,1
48.13,44.4,98.07,35.95,0
22.37,58.92,124.4,39.57,0
48.77,32.68,137.2,94.36,0
25.04,24.87,219.16,47.27,0
97.82,99.09,41.21,545.23,1
49.28,33.85,160.59,36.8,0
21.11,41.54,283.26,74.17,0
43.86,43.47,110.61,71.94,0
45.09,22.1,153.33,75.98,0
52.39,20.21,187.59,93.97,0
61.43,55.14,169.36,31.95,0
91.85,92.92,45.86,444.73,1
39.43,48.92,284.17,92.62,0
58.52,27.03,279.91,99.76,0
37.25,57.46,290.53,93.71,0
70.2,74.2,371.46,395.75,1
64.4,41.73,173.48,94.78,0
80.3,64.82,372.53,190.62,1
24.15,27.45,234.15,82.22,0
51.65,27.02,264.04,91.25,0
38.34,23.47,217.31,30.71,0
27.8,29.92,115.2,35.02,0
62.47,32.08,230.72,15.97,0
48.1,22.48,79.56,41.08,0
37.64,55.8,225.89,41.43,0
60.39,31.8,203.66,33.63,0
18.43,49.91,201.43,50.35,0
35.9,41.5,216.02,33.56,0
51.51,54.93,70.47,52.97,0
14.3,42.57,65.44,61.55,0
41.5,25.99,132.03,59.23,0
21.3,43.33,72.74,58.38,0
34.94,40.53,164.2,19.91,0
54.38,48.93,148.99,84.4,0
41.81,21.81,136.13,20.42,0
99.21,81.38,47.02,415.87,1
52.29,50.63,294.58,69.9,0
64.61,35.3,267.41,92.08,0
47.55,46.47,184.83,70.55,0
19.82,41.49,182.21,76.87,0
10.19,20.91,124.59,72.25,0
39.26,52.93,111.88,44.42,0
61.56,49.0,78.21,83.81,0
52.13,55.35,53.91,32.52,0
11.85,43.91,225.82,19.14,0
32.12,29.37,104.32,88.42,0
37.71,31.57,253.95,77.18,0
42.89,46.9,130.17,40.65,0
46.31,28.84,125.13,20.18,0
89.35,82.79,475.2,256.8,1
63.48,57.66,217.84,81.79,0
32.9,25.97,144.12,79.13,0
56.71,32.03,226.89,83.49,0
82.37,84.19,461.46,183.52,1
21.18,45.87,280.56,87.01,0
49.85,27.62,117.12,72.26,0
58.05,27.53,240.42,76.57,0
36.37,54.78,133.24,96.35,0
61.54,58.48,79.33,99.96,0
23.34,44.18,101.13,92.79,0
52.65,35.23,183.41,45.54,0
38.2,39.89,74.65,98.41,0
56.19,56.57,142.68,50.18,0
22.17,25.84,115.19,94.45,0
32.97,26.1,132.47,47.29,0
37.46,46.18,221.21,36.87,0
63.16,45.67,172.65,29.3,0
19.31,48.81,172.08,92.94,0
45.3,22.35,58.46,86.97,0
84.7,79.11,432.48,360.64,1
48.89,20.37,176.43,46.72,0
46.67,44.66,170.8,56.47,0
40.34,20.47,182.35,38.35,0
88.21,96.26,35.33,803.08,1
72.35,62.41,379.78,197.98,1
54.84,30.69,149.22,46.71,0
41.08,59.61,106.46,73.14,0
45.96,54.33,239.9,22.95,0
40.4,22.24,52.36,29.57,0
33.87,51.38,191.46,87.93,0
39.05,21.7,102.85,88.79,0
80.46,61.16,364.87,381.4,1
82.4,60.82,535.75,228.62,1
95.04,95.05,37.07,599.15,1
18.93,29.62,258.66,48.08,0
77.3,78.89,377.99,397.12,1
37.54,58.97,63.42,52.15,0
28.73,50.76,288.71,48.72,0
11.63,30.93,298.15,56.7,0
61.76,37.27,219.92,71.16,0
44.02,51.92,228.28,21.97,0
49.14,45.36,234.91,41.92,0
10.29,32.33,139.98,37.93,0
20.31,37.95,188.69,49.68,0
29.47,23.72,199.51,42.58,0
26.05,35.51,71.17,91.6,0
91.52,74.3,383.92,245.18,1
26.56,39.72,65.82,51.95,0
36.63,23.08,112.92,35.96,0
42.66,27.82,76.74,40.9,0
77.31,75.5,510.82,232.39,1
54.85,54.38,293.56,26.57,0
62.1,28.03,128.55,96.99,0
91.5,93.9,27.1,687.94,1
30.68,52.66,148.23,24.68,0
42.57,41.83,220.43,61.76,0
93.54,94.17,24.73,545.67,1
55.04,51.83,152.29,57.44,0
23.31,46.35,228.81,82.07,0
64.49,39.17,150.2,58.06,0
85.22,73.59,508.14,239.88,1
81.81,75.95,367.0,342.24,1
29.53,45.88,61.07,98.61,0
31.98,50.11,291.43,51.59,0
24.23,40.43,179.7,64.34,0
34.52,35.65,243.09,65.03,0
28.97,20.98,76.14,50.36,0
89.39,98.81,11.38,555.95,1
21.38,39.32,169.04,52.24,0
27.54,32.01,252.55,24.78,0
45.64,47.09,91.09,98.63,0
19.59,26.41,189.96,96.47,0
32.28,27.38,210.12,51.73,0
43.78,27.89,198.05,48.05,0
21.32,50.09,252.18,20.32,0
57.96,27.48,131.5,53.89,0
57.45,41.11,209.78,65.74,0
42.29,33.92,261.38,67.48,0
48.83,31.9,203.62,22.2,0
16.48,32.22,95.76,73.94,0
33.0,25.51,145.93,30.79,0
48.14,45.81,299.97,62.17,0
17.72,32.58,162.75,19.56,0
10.53,25.46,253.8,96.93,0
37.22,47.39,153.91,86.39,0
14.55,21.23,240.26,39.83,0
39.57,26.73,164.33,78.11,0
40.23,24.53,78.55,80.88,0
30.18,52.9,60.4,76.11,0
64.44,24.1,257.52,78.86,0
64.96,37.99,137.14,84.42,0
64.67,51.03,109.24,83.91,0
29.28,48.43,208.19,29.11,0
21.36,28.28,64.84,44.82,0
39.63,32.95,226.01,39.59,0
57.19,59.42,219.82,23.09,0
97.43,98.38,49.66,833.52,1
57.63,29.99,227.85,85.42,0
47.19,39.58,194.36,37.84,0
34.86,45.35,270.03,22.91,0
25.3,57.45,142.27,95.77,0
10.14,50.97,233.18,77.13,0
46.53,34.33,65.83,60.43,0
33.63,28.47,117.13,85.41,0
41.79,42.65,171.33,44.22,0
12.66,23.98,245.97,54.06,0
57.17,37.65,50.17,96.43,0
47.87,25.28,212.5,28.51,0
76.03,76.36,400.08,242.96,1
73.64,69.91,411.1,324.86,1
46.05,48.15,50.27,55.53,0
22.44,47.2,52.32,74.13,0
64.35,36.89,83.04,21.02,0
50.19,24.1,128.34,89.88,0
52.54,50.13,83.29,99.4,0
39.18,20.34,212.51,52.41,0
44.54,26.05,152.93,73.36,0
71.91,62.51,500.49,297.39,1
62.98,32.58,84.96,38.54,0
40.44,44.0,201.9,81.21,0
56.63,46.34,125.41,59.01,0
51.13,31.82,63.64,91.32,0
93.94,82.25,27.48,696.96,1
63.77,59.48,283.48,26.22,0
82.5,69.14,486.59,340.68,1
97.24,80.33,8.04,531.09,1
13.33,51.57,176.65,68.43,0
32.85,48.07,70.61,60.61,0
25.26,32.4,177.83,32.27,0
39.5,35.63,208.57,85.93,0
13.64,47.95,232.49,86.95,0
14.74,37.38,163.34,66.75,0
50.79,49.63,79.86,75.17,0
19.01,58.12,180.75,81.55,0
19.18,25.08,245.28,37.84,0
86.97,60.73,511.42,218.0,1
49.18,43.07,69.27,53.69,0
37.48,42.68,141.92,36.68,0
41.57,48.91,107.1,58.25,0
57.46,29.78,167.94,47.55,0
61.21,54.3,188.22,92.69,0
33.07,32.87,154.06,76.22,0
14.28,34.91,175.51,91.66,0
54.24,59.26,288.52,20.86,0
25.53,53.79,131.83,62.01,0
21.04,42.55,125.98,67.93,0
42.54,39.73,243.15,31.61,0
86.73,66.13,351.28,252.51,1
29.05,53.58,269.3,95.83,0
46.15,53.96,231.8,23.84,0
23.1,39.68,64.97,99.74,0
15.12,56.85,274.32,59.18,0
30.49,58.98,71.23,23.12,0
55.1,22.99,191.96,51.97,0
90.84,85.22,19.18,800.41,1
50.44,32.72,117.99,21.35,0
52.9,43.39,88.85,28.97,0
32.36,41.44,291.16,32.65,0
24.58,24.8,89.4,73.31,0
48.33,21.61,258.98,42.86,0
23.65,34.23,178.36,72.56,0
64.49,21.24,151.1,53.44,0
23.74,38.48,250.97,26.88,0
55.67,59.3,82.68,85.01,0
44.67,45.79,195.58,37.0,0
11.2,22.58,275.62,52.69,0
59.78,53.17,132.89,18.63,0
19.24,42.96,255.42,48.57,0
47.58,26.91,103.68,30.91,0
58.59,21.39,204.79,35.89,0
32.66,42.03,65.24,38.78,0
20.97,55.39,181.45,68.61,0
53.72,59.58,245.48,45.52,0
36.66,56.51,175.6,48.01,0
27.54,28.76,273.94,81.18,0
64.53,41.18,241.71,99.97,0
89.2,93.14,16.99,808.14,1
71.23,84.91,393.88,361.63,1
29.51,53.57,261.31,29.97,0
54.34,47.91,278.5,17.4,0
62.12,42.54,190.78,31.0,0
98.58,89.84,18.91,645.22,1
22.79,28.75,181.61,15.06,0
74.43,63.26,493.39,379.7,1
27.8,20.88,196.65,92.96,0
56.56,54.43,290.14,46.76,0
78.7,62.53,410.35,184.11,1
62.18,51.67,290.17,70.18,0
63.28,47.74,282.21,81.89,0
42.39,27.01,126.71,73.52,0
50.09,57.95,287.17,48.29,0
99.58,80.65,32.11,860.52,1
90.65,91.31,47.15,470.32,1
23.09,59.3,91.97,90.25,0
48.99,45.56,271.66,52.96,0
23.72,22.71,114.16,24.18,0
31.23,49.3,292.28,90.19,0
30.83,41.84,75.36,55.76,0
84.32,77.18,382.53,168.43,1
26.22,32.75,287.92,21.31,0
30.65,49.28,186.76,91.34,0
42.67,44.55,170.68,17.63,0
73.63,82.24,381.42,175.31,1
20.45,47.89,230.51,77.05,0
25.48,29.5,62.41,63.6,0
18.45,34.43,156.9,40.04,0
43.01,27.99,56.43,29.52,0
14.51,53.75,127.09,48.78,0
46.36,23.65,186.03,30.71,0
78.13,71.14,402.66,266.26,1
24.77,22.47,238.06,71.73,0
28.91,41.66,292.68,65.13,0
56.24,52.74,154.66,60.52,0
80.45,82.04,445.25,169.74,1
85.71,72.55,530.09,350.11,1
44.12,24.81,239.3,29.69,0
99.67,96.17,10.68,611.69,1
93.22,99.95,33.23,817.05,1
60.09,56.57,66.75,47.99,0
27.94,31.05,164.54,89.24,0
44.27,40.9,154.9,50.23,0
42.34,50.34,284.91,93.62,0
15.55,31.44,183.91,44.23,0
31.07,39.42,202.24,18.18,0
17.91,44.35,223.42,18.3,0
77.29,65.94,499.15,380.21,1
70.45,80.43,410.61,220.09,1
48.29,23.93,267.23,26.42,0
93.32,96.52,17.12,608.39,1
20.34,28.46,255.99,77.98,0
57.7,52.84,178.82,28.51,0
37.87,25.43,262.82,89.74,0
20.6,53.32,259.24,36.21,0
60.49,48.19,118.49,85.0,0
44.95,24.95,57.64,46.66,0
19.77,54.82,196.72,44.73,0
59.2,49.96,222.21,39.23,0
18.96,42.89,291.23,87.85,0
47.27,30.76,152.38,16.7,0
52.22,20.36,277.88,70.03,0
10.47,30.1,251.27,40.96,0
95.71,88.48,21.94,574.35,1
35.67,47.09,256.08,48.76,0
38.13,46.49,260.82,46.81,0
43.5,31.94,77.03,20.43,0
95.69,97.23,16.75,755.55,1
76.57,63.75,503.09,374.92,1
54.13,44.0,215.13,72.86,0
46.05,59.9,114.86,50.58,0
11.94,48.32,193.01,31.14,0
22.23,41.39,246.22,92.05,0
37.9,53.82,260.16,89.5,0
15.37,25.12,114.66,83.71,0
20.07,47.19,133.91,22.59,0
50.93,32.28,247.02,43.16,0
26.17,54.05,167.63,88.64,0
61.94,22.85,272.36,57.54,0
78.4,67.46,360.81,363.56,1
21.02,36.37,192.35,92.06,0
27.4,48.63,244.74,56.44,0
19.73,45.38,51.18,38.25,0
19.27,50.58,172.39,79.9,0
43.8,45.34,150.85,97.05,0
12.07,27.98,143.28,16.2,0
55.83,27.62,219.19,68.27,0
48.14,33.77,82.23,47.6,0
19.19,52.95,124.55,39.72,0
42.8,33.51,271.99,99.62,0
59.58,34.37,97.11,95.59,0
78.87,65.71,495.43,182.8,1
42.43,26.76,141.65,70.3,0
58.21,30.23,183.68,19.13,0
95.94,93.07,5.89,744.87,1
30.91,41.89,168.6,28.02,0
44.67,32.04,215.42,71.31,0
43.31,25.49,257.66,23.92,0
16.48,24.56,76.57,31.88,0
24.46,40.93,100.42,74.79,0
12.17,39.85,101.92,94.32,0
10.15,46.87,276.72,85.99,0
18.2,23.6,177.93,76.5,0
24.07,29.25,297.17,40.16,0
15.49,26.99,59.86,39.7,0
27.2,49.54,73.75,79.45,0
56.86,46.53,92.63,45.39,0
44.2,55.14,73.24,84.27,0
32.04,58.49,117.96,47.79,0
87.6,76.22,509.38,178.26,1
13.23,57.7,89.85,50.36,0
54.12,47.14,95.32,47.28,0
11.58,47.38,259.63,97.74,0
60.62,24.52,152.82,18.91,0
27.28,48.18,219.48,80.24,0
41.08,59.12,217.46,43.76,0
48.53,23.81,215.43,36.13,0
47.2,35.4,259.76,62.46,0
88.65,92.87,12.06,824.42,1
89.13,61.87,448.33,210.22,1
88.6,84.45,33.95,601.64,1
35.25,52.05,162.02,87.81,0
16.53,39.89,213.34,23.72,0
40.64,20.01,72.72,66.36,0
26.75,40.33,101.71,72.08,0
92.36,81.09,15.03,627.23,1
44.09,38.93,214.29,75.85,0
51.76,28.87,135.34,85.54,0
91.5,90.44,36.59,422.89,1
17.72,48.67,230.39,24.09,0
20.31,57.21,148.22,53.85,0
49.42,24.31,153.62,93.76,0
42.38,50.89,162.63,70.97,0
89.62,89.98,28.87,424.29,1
88.45,72.07,451.67,380.29,1
41.82,49.22,82.1,47.93,0
58.55,40.16,146.17,98.26,0
86.77,66.84,542.72,392.62,1
17.34,36.51,225.0,78.62,0
48.58,54.43,227.97,94.52,0
21.05,44.97,122.64,44.35,0
63.97,46.0,289.58,57.83,0
27.73,24.62,138.06,55.83,0
46.69,36.7,236.97,86.52,0
56.6,52.33,180.68,17.15,0
46.86,28.0,237.55,28.68,0
23.78,53.58,222.65,40.09,0
11.78,52.56,75.62,88.78,0
57.57,49.7,190.32,35.2,0
53.94,31.51,216.12,93.75,0
62.62,59.03,128.16,61.93,0
23.82,44.82,245.23,88.96,0
60.13,48.19,211.91,79.18,0
43.19,51.05,291.07,40.01,0
47.55,27.48,93.45,58.68,0
33.57,42.26,82.52,64.64,0
28.18,48.39,88.7,28.06,0
12.8,57.3,203.9,71.26,0
41.5,34.32,246.01,42.02,0
20.11,22.73,176.29,50.35,0
15.06,28.85,103.34,43.21,0
22.01,50.11,182.62,99.71,0
63.96,20.35,217.23,52.88,0
83.5,75.53,541.78,320.64,1
60.38,57.8,146.47,60.92,0
60.12,52.88,143.74,83.24,0
12.41,55.93,98.13,58.68,0
73.68,83.91,457.59,151.83,1
46.87,50.94,266.24,51.06,0
39.58,48.11,294.06,80.89,0
61.69,49.88,88.44,54.03,0
14.81,22.17,248.55,62.44,0
22.52,30.35,147.01,68.57,0
10.93,46.93,183.71,69.52,0
51.58,43.42,225.22,21.17,0
72.33,79.67,410.27,171.63,1
34.07,35.8,215.18,55.29,0
17.5,35.64,249.37,61.39,0
89.73,93.55,46.14,797.51,1
30.52,57.98,188.38,62.18,0
10.28,43.87,184.29,95.49,0
51.16,56.14,135.96,50.08,0
38.19,26.44,105.2,85.95,0
19.97,51.99,263.06,87.37,0
91.87,71.53,459.93,222.66,1
15.4,49.02,171.8,43.12,0
46.05,24.0,204.88,91.51,0
34.79,44.65,126.42,64.65,0
30.05,32.65,157.08,15.41,0
22.18,49.59,159.03,86.41,0
50.31,55.12,165.71,45.49,0
40.34,27.03,201.66,86.55,0
73.08,73.47,402.65,371.58,1
14.15,20.75,176.79,17.65,0
